param1_crossover,param1_mutation,param2_crossover,param2_mutation,pvalue
0.3,0.3,0.7,0.2,8.611642391568996e-07
0.3,0.3,0.7,0.3,0.8376203937814148
0.3,0.3,0.7,0.5,3.1780008146198766e-25
0.3,0.3,0.9,0.01,9.848490820014055e-34
0.3,0.3,0.9,0.05,5.764364796762973e-06
0.3,0.3,0.9,0.1,8.614854606151846e-05
0.3,0.3,0.9,0.2,8.708578423604439e-10
0.3,0.3,0.9,0.3,0.7889527848702389
0.3,0.3,0.9,0.5,6.104734799926462e-26
0.3,0.3,1.0,0.01,2.271726125931656e-33
0.3,0.3,1.0,0.05,3.3782744654110593e-07
0.3,0.3,1.0,0.1,7.597043467108128e-05
0.3,0.3,1.0,0.2,1.0959032031308656e-07
0.3,0.3,1.0,0.3,0.6429468238207217
0.3,0.3,1.0,0.5,2.4015950101761055e-25
0.3,0.5,0.5,0.01,1.90159862470289e-25
0.3,0.5,0.5,0.05,0.135336071755658
0.3,0.5,0.5,0.1,2.162542755855013e-12
0.3,0.5,0.5,0.2,7.389926884260201e-22
0.3,0.5,0.5,0.3,8.905601994714065e-24
0.3,0.5,0.5,0.5,0.8427354536767502
0.3,0.5,0.7,0.01,2.383680207749509e-23
0.3,0.5,0.7,0.05,0.13242769106568444
0.3,0.5,0.7,0.1,3.670410774933223e-16
0.3,0.5,0.7,0.2,1.0336176804090754e-19
0.3,0.5,0.7,0.3,6.995731778936833e-24
0.3,0.5,0.7,0.5,0.7517614055278241
0.3,0.5,0.9,0.01,5.565394428977258e-24
0.3,0.5,0.9,0.05,0.19035533977828134
0.3,0.5,0.9,0.1,7.798404999316525e-16
0.3,0.5,0.9,0.2,2.5368160102625287e-23
0.3,0.5,0.9,0.3,6.204651647413369e-23
0.3,0.5,0.9,0.5,0.3403612537312818
0.3,0.5,1.0,0.01,1.8288620334731035e-24
0.3,0.5,1.0,0.05,0.9642681795954172
0.3,0.5,1.0,0.1,3.6632147465115604e-14
0.3,0.5,1.0,0.2,3.6323529132591565e-21
0.3,0.5,1.0,0.3,2.3047926785879274e-23
0.3,0.5,1.0,0.5,0.83231203637029
0.5,0.01,0.5,0.05,3.511961789291435e-29
0.5,0.01,0.5,0.1,3.4865294595766533e-34
0.5,0.01,0.5,0.2,2.8405179929309878e-34
0.5,0.01,0.5,0.3,3.8492439647305205e-33
0.5,0.01,0.5,0.5,3.2305351911430836e-25
0.5,0.01,0.7,0.01,0.7719418002544344
0.5,0.01,0.7,0.05,1.3785651093390875e-29
0.5,0.01,0.7,0.1,3.7389015511437597e-34
0.5,0.01,0.7,0.2,3.874210400880377e-34
0.5,0.01,0.7,0.3,4.011637309416365e-33
0.5,0.01,0.7,0.5,7.574370044726804e-25
0.5,0.01,0.9,0.01,0.355308619872741
0.5,0.01,0.9,0.05,6.1839268872794714e-30
0.5,0.01,0.9,0.1,5.140431516032847e-34
0.5,0.01,0.9,0.2,5.318754157605914e-35
0.5,0.01,0.9,0.3,1.7382826755358107e-33
0.5,0.01,0.9,0.5,1.6560409324694413e-24
0.5,0.01,1.0,0.01,0.5106221285211603
0.5,0.01,1.0,0.05,2.2725585865968094e-29
0.5,0.01,1.0,0.1,6.308569870611552e-34
0.5,0.01,1.0,0.2,2.2420500537974477e-34
0.5,0.01,1.0,0.3,1.2071950062903336e-32
0.5,0.01,1.0,0.5,5.893465058897913e-25
0.5,0.05,0.5,0.1,5.8116222889885826e-11
0.5,0.05,0.5,0.2,1.5556360466614236e-09
0.5,0.05,0.5,0.3,0.00038286848727819644
0.5,0.05,0.5,0.5,0.19693651149123437
0.5,0.05,0.7,0.01,2.83315328404878e-30
0.5,0.05,0.7,0.05,0.7541159684761484
0.5,0.05,0.7,0.1,2.5796375948291556e-14
0.5,0.05,0.7,0.2,1.4197365058840848e-08
0.5,0.05,0.7,0.3,0.0002860152149062633
0.5,0.05,0.7,0.5,0.12904886297948104
0.5,0.05,0.9,0.01,5.3087095112692654e-30
0.5,0.05,0.9,0.05,0.8599541206937777
0.5,0.05,0.9,0.1,2.680093272372961e-11
0.5,0.05,0.9,0.2,4.91875980207822e-11
0.5,0.05,0.9,0.3,0.00023029723261862477
0.5,0.05,0.9,0.5,0.10228198048062176
0.5,0.05,1.0,0.01,2.1740040730043215e-30
0.5,0.05,1.0,0.05,0.07672185610218686
0.5,0.05,1.0,0.1,4.8330919716883804e-11
0.5,0.05,1.0,0.2,2.8620017420779832e-08
0.5,0.05,1.0,0.3,0.0012226393441556922
0.5,0.05,1.0,0.5,0.15150442688797056
0.5,0.1,0.5,0.2,0.2703310182822952
0.5,0.1,0.5,0.3,0.001000513642455996
0.5,0.1,0.5,0.5,5.534142310902032e-12
0.5,0.1,0.7,0.01,3.956830373624796e-33
0.5,0.1,0.7,0.05,6.407923412499101e-14
0.5,0.1,0.7,0.1,0.1252153229962268
0.5,0.1,0.7,0.2,0.15721159148436545
0.5,0.1,0.7,0.3,0.00036464388404415504
0.5,0.1,0.7,0.5,6.768403972227901e-13
0.5,0.1,0.9,0.01,3.234381493251412e-34
0.5,0.1,0.9,0.05,2.97560046026131e-11
0.5,0.1,0.9,0.1,0.7348444046087392
0.5,0.1,0.9,0.2,0.6636134757675423
0.5,0.1,0.9,0.3,0.00028310598923761665
0.5,0.1,0.9,0.5,2.070109825718562e-14
0.5,0.1,1.0,0.01,1.4242313687815398e-34
0.5,0.1,1.0,0.05,2.6111834480417967e-14
0.5,0.1,1.0,0.1,0.7373488231979363
0.5,0.1,1.0,0.2,0.17043499124352612
0.5,0.1,1.0,0.3,0.00032363154349840704
0.5,0.1,1.0,0.5,4.197640174631671e-12
0.5,0.2,0.5,0.3,8.078955112263002e-09
0.5,0.2,0.5,0.5,1.0205479040125947e-21
0.5,0.2,0.7,0.01,1.1002848421124942e-33
0.5,0.2,0.7,0.05,6.34114780619302e-11
0.5,0.2,0.7,0.1,0.0008597865993659033
0.5,0.2,0.7,0.2,0.7387604255753755
0.5,0.2,0.7,0.3,8.851601170117574e-10
0.5,0.2,0.7,0.5,3.0190731308691716e-22
0.5,0.2,0.9,0.01,2.591225190288843e-34
0.5,0.2,0.9,0.05,4.728399750806665e-12
0.5,0.2,0.9,0.1,0.16612105566265556
0.5,0.2,0.9,0.2,0.3585278898930504
0.5,0.2,0.9,0.3,3.521736835395103e-10
0.5,0.2,0.9,0.5,1.668328949060991e-22
0.5,0.2,1.0,0.01,4.22160065465422e-34
0.5,0.2,1.0,0.05,5.039307030431262e-14
0.5,0.2,1.0,0.1,0.05576335151755116
0.5,0.2,1.0,0.2,0.9170315716375224
0.5,0.2,1.0,0.3,3.759837906982702e-10
0.5,0.2,1.0,0.5,3.7056279759712253e-22
0.5,0.3,0.5,0.5,1.8830797032913912e-24
0.5,0.3,0.7,0.01,5.158165802773433e-32
0.5,0.3,0.7,0.05,2.45648889629929e-05
0.5,0.3,0.7,0.1,9.719754329914963e-08
0.5,0.3,0.7,0.2,6.799973794732219e-08
0.5,0.3,0.7,0.3,0.7927207557949919
0.5,0.3,0.7,0.5,2.4164465202157135e-26
0.5,0.3,0.9,0.01,1.5073280705321398e-33
0.5,0.3,0.9,0.05,2.556458924034111e-05
0.5,0.3,0.9,0.1,4.751606267287359e-05
0.5,0.3,0.9,0.2,1.520373895137096e-10
0.5,0.3,0.9,0.3,0.4704117128246599
0.5,0.3,0.9,0.5,2.419141880936941e-25
0.5,0.3,1.0,0.01,7.611602968260641e-33
0.5,0.3,1.0,0.05,8.424517129007652e-07
0.5,0.3,1.0,0.1,8.281164347009987e-05
0.5,0.3,1.0,0.2,9.001236773759134e-09
0.5,0.3,1.0,0.3,0.508367566877858
0.5,0.3,1.0,0.5,9.758778925186378e-25
0.5,0.5,0.7,0.01,2.76585789978256e-22
0.5,0.5,0.7,0.05,0.1726885351013019
0.5,0.5,0.7,0.1,2.7767969054367215e-16
0.5,0.5,0.7,0.2,3.882092552392946e-20
0.5,0.5,0.7,0.3,2.2780986472476158e-24
0.5,0.5,0.7,0.5,0.9743835931873405
0.5,0.5,0.9,0.01,8.917712518152312e-24
